id,time
15,183.94558215141296
15,217.51384472846985
15,214.57636904716492
15,210.19621896743774
30,500.3677649497986
30,513.8283240795135
30,472.1286163330078
30,496.4081530570984
45,963.3468906879425
45,885.4656829833984
45,807.9332234859467
45,878.7835876941681
60,1185.2079634666443
60,1519.5372104644775
60,1500.252337694168
60,1463.6439695358276
75,2027.2429118156433
75,1989.9752831459045
75,1987.7679543495178
75,2029.4079625606537
90,2244.4242255687714
90,2465.297506570816
90,2646.112546443939
90,2584.5664682388306
100,3047.99888920784
100,3050.6430716514587
100,3182.413713693619
100,3078.526944875717
